id,"food","amount",cuisine_id,"created_at","updated_at"
73,"・塩、ごま油","適宣",17,"0000-00-00 00:00:00","0000-00-00 00:00:00"
74,"かぼちゃ","120g",18,"0000-00-00 00:00:00","0000-00-00 00:00:00"
75,"きゅうり","50g",18,"0000-00-00 00:00:00","0000-00-00 00:00:00"
76,"・塩、こしょう","各少々",18,"0000-00-00 00:00:00","0000-00-00 00:00:00"
77,"ほうれん草","1/2わ",19,"0000-00-00 00:00:00","0000-00-00 00:00:00"
78,"・塩、酢","適宣",19,"0000-00-00 00:00:00","0000-00-00 00:00:00"
79,"とうもろこし","大さじ３",19,"0000-00-00 00:00:00","0000-00-00 00:00:00"
80,"大根","20g",20,"0000-00-00 00:00:00","0000-00-00 00:00:00"
81,"塩","適宣",20,"0000-00-00 00:00:00","0000-00-00 00:00:00"
82,"にんじん","1/3本",213,"0000-00-00 00:00:00","0000-00-00 00:00:00"
83,"ミニトマト","10個",21,"0000-00-00 00:00:00","0000-00-00 00:00:00"
84,"枝豆","130g",22,"0000-00-00 00:00:00","0000-00-00 00:00:00"
85,"玉ねぎ","小1/2個",22,"0000-00-00 00:00:00","0000-00-00 00:00:00"
86,"大根","200g",23,"0000-00-00 00:00:00","0000-00-00 00:00:00"
87,"ごま油","小さじ２",23,"0000-00-00 00:00:00","0000-00-00 00:00:00"
88,"ポン酢じょうゆ","大さじ２",23,"0000-00-00 00:00:00","0000-00-00 00:00:00"
89,"ベーコン","３枚",25,"0000-00-00 00:00:00","0000-00-00 00:00:00"
90,"レタス","120g",25,"0000-00-00 00:00:00","0000-00-00 00:00:00"
91,"粉チーズ","大さじ１",25,"0000-00-00 00:00:00","0000-00-00 00:00:00"
92,"牛乳","大さじ1/2",25,"0000-00-00 00:00:00","0000-00-00 00:00:00"
93,"酢","小さじ１",25,"0000-00-00 00:00:00","0000-00-00 00:00:00"
94,"粗びき黒こしょう","適宣",25,"0000-00-00 00:00:00","0000-00-00 00:00:00"
95,"・ウスターソース、塩、こしょう","各少々",25,"0000-00-00 00:00:00","0000-00-00 00:00:00"
100,"とりもも肉","100g",28,"0000-00-00 00:00:00","0000-00-00 00:00:00"
101,"しいたけ","３枚",28,"0000-00-00 00:00:00","0000-00-00 00:00:00"
102,"里いも","200g",28,"0000-00-00 00:00:00","0000-00-00 00:00:00"
103,"れんこん","150g",28,"0000-00-00 00:00:00","0000-00-00 00:00:00"
104,"にんじん","50g",28,"0000-00-00 00:00:00","0000-00-00 00:00:00"
105,"・砂糖、しょうゆ","大さじ１",28,"0000-00-00 00:00:00","0000-00-00 00:00:00"
106,"・酒","大さじ１",28,"0000-00-00 00:00:00","0000-00-00 00:00:00"
107,"・塩","少々",28,"0000-00-00 00:00:00","0000-00-00 00:00:00"
108,"卵","１個",40,"0000-00-00 00:00:00","0000-00-00 00:00:00"
109,"ごま油","大さじ１",40,"0000-00-00 00:00:00","0000-00-00 00:00:00"
110,"・小麦粉、片栗粉","大さじ３",40,"0000-00-00 00:00:00","0000-00-00 00:00:00"
111,"とりもも肉","300g",40,"0000-00-00 00:00:00","0000-00-00 00:00:00"
112,"砂糖","小さじ２",40,"0000-00-00 00:00:00","0000-00-00 00:00:00"
113,"塩","小さじ２",40,"0000-00-00 00:00:00","0000-00-00 00:00:00"
114,"酒","大さじ１",40,"0000-00-00 00:00:00","0000-00-00 00:00:00"
115,"粗挽き黒こしょう","少々",40,"0000-00-00 00:00:00","0000-00-00 00:00:00"
116,"レモン","大さじ１",40,"0000-00-00 00:00:00","0000-00-00 00:00:00"
117,"卵","１個",41,"0000-00-00 00:00:00","0000-00-00 00:00:00"
118,"・小麦粉、片栗粉","大さじ３",41,"0000-00-00 00:00:00","0000-00-00 00:00:00"
119,"ごま油","大さじ１",41,"0000-00-00 00:00:00","0000-00-00 00:00:00"
120,"とりもも肉","300g",41,"0000-00-00 00:00:00","0000-00-00 00:00:00"
121,"砂糖","小さじ２",41,"0000-00-00 00:00:00","0000-00-00 00:00:00"
122,"塩","小さじ２",41,"0000-00-00 00:00:00","0000-00-00 00:00:00"
123,"酒","大さじ１",41,"0000-00-00 00:00:00","0000-00-00 00:00:00"
124,"大根","1/2カップ",41,"0000-00-00 00:00:00","0000-00-00 00:00:00"
125,"粗挽き黒こしょう","少々",41,"0000-00-00 00:00:00","0000-00-00 00:00:00"
126,"　・しょうゆ、酢","適宣",41,"0000-00-00 00:00:00","0000-00-00 00:00:00"
127,"キャベツ","300g",42,"0000-00-00 00:00:00","0000-00-00 00:00:00"
128,"にら","1/5束",42,"0000-00-00 00:00:00","0000-00-00 00:00:00"
129,"ねぎ","1/4本",42,"0000-00-00 00:00:00","0000-00-00 00:00:00"
130,"豚肉","100g",42,"0000-00-00 00:00:00","0000-00-00 00:00:00"
131,"ごま油","大さじ１",42,"0000-00-00 00:00:00","0000-00-00 00:00:00"
132,"サラダ油","大さじ１",42,"0000-00-00 00:00:00","0000-00-00 00:00:00"
133,"・塩、砂糖、しょうゆ、酒、こしょう","適宣",42,"0000-00-00 00:00:00","0000-00-00 00:00:00"
134,"豚肉","200g",43,"0000-00-00 00:00:00","0000-00-00 00:00:00"
135,"キャベツ","200g",43,"0000-00-00 00:00:00","0000-00-00 00:00:00"
136,"ねぎ","１本",44,"0000-00-00 00:00:00","0000-00-00 00:00:00"
137,"しょうが","１かけ",44,"0000-00-00 00:00:00","0000-00-00 00:00:00"
138,"キャベツ","２枚",44,"0000-00-00 00:00:00","0000-00-00 00:00:00"
139,"豚肉","200g",44,"0000-00-00 00:00:00","0000-00-00 00:00:00"
140,"ごま油","大さじ１",44,"0000-00-00 00:00:00","0000-00-00 00:00:00"
141,"・しょうゆ、酒、こしょう","適宣",44,"0000-00-00 00:00:00","0000-00-00 00:00:00"
142,"しいたけ","２枚",44,"0000-00-00 00:00:00","0000-00-00 00:00:00"
143,"キャベツ","200g",45,"0000-00-00 00:00:00","0000-00-00 00:00:00"
144,"きゅうり","1/3本",45,"0000-00-00 00:00:00","0000-00-00 00:00:00"
145,"・サラダ油、しょうゆ","適宣",45,"0000-00-00 00:00:00","0000-00-00 00:00:00"
146,"豚肉","200g",45,"0000-00-00 00:00:00","0000-00-00 00:00:00"
147,"玉ねぎ","50g",45,"0000-00-00 00:00:00","0000-00-00 00:00:00"
148,"じゃがいも","２個",46,"0000-00-00 00:00:00","0000-00-00 00:00:00"
149,"にんじん","1/2本",46,"0000-00-00 00:00:00","0000-00-00 00:00:00"
150,"牛肉","150g",46,"0000-00-00 00:00:00","0000-00-00 00:00:00"
151,"玉ねぎ","１個",46,"0000-00-00 00:00:00","0000-00-00 00:00:00"
152,"サラダ油","大さじ１",46,"0000-00-00 00:00:00","0000-00-00 00:00:00"
153,"・酒、砂糖、しょうゆ、塩","適宣",46,"0000-00-00 00:00:00","0000-00-00 00:00:00"
154,"・酒、しょうゆ","小さじ１",47,"0000-00-00 00:00:00","0000-00-00 00:00:00"
155,"片栗粉","小さじ１",47,"0000-00-00 00:00:00","0000-00-00 00:00:00"
156,"豚肉","160g",47,"0000-00-00 00:00:00","0000-00-00 00:00:00"
157,"玉ねぎ","1/4個",47,"0000-00-00 00:00:00","0000-00-00 00:00:00"
158,"ピーマン","１個",47,"0000-00-00 00:00:00","0000-00-00 00:00:00"
159,"・酒、しょうゆ、片栗粉","小さじ１",47,"0000-00-00 00:00:00","0000-00-00 00:00:00"
160,"  黒こしょう","少々",47,"0000-00-00 00:00:00","0000-00-00 00:00:00"
161,"大根","650g",48,"0000-00-00 00:00:00","0000-00-00 00:00:00"
162,"・しょうゆ、みりん","大さじ２",48,"0000-00-00 00:00:00","0000-00-00 00:00:00"
163,"砂糖","大さじ1/2",48,"0000-00-00 00:00:00","0000-00-00 00:00:00"
164,"豚肉","150h",48,"0000-00-00 00:00:00","0000-00-00 00:00:00"
165,"豚肉","200g",49,"0000-00-00 00:00:00","0000-00-00 00:00:00"
166,"ねぎ","1/2本",49,"0000-00-00 00:00:00","0000-00-00 00:00:00"
167,"レモン汁","大さじ２",49,"0000-00-00 00:00:00","0000-00-00 00:00:00"
168,"塩","小さじ１",49,"0000-00-00 00:00:00","0000-00-00 00:00:00"
169,"黒こしょう","適宣",49,"0000-00-00 00:00:00","0000-00-00 00:00:00"
170,"サラダ油","適宣",49,"0000-00-00 00:00:00","0000-00-00 00:00:00"
171,"豚肉","200g",50,"0000-00-00 00:00:00","0000-00-00 00:00:00"
172,"もやし","１袋",50,"0000-00-00 00:00:00","0000-00-00 00:00:00"
173,"にら","１わ",50,"0000-00-00 00:00:00","0000-00-00 00:00:00"
