id,"genre","name",calorie,"created_at","updated_at"
800,"鍋もの","豚しゃぶ鍋",213,"2017-10-24 09:36:36","2017-10-24 09:36:36"
801,"鍋もの","すき焼き",463,"2017-10-24 09:36:36","2017-10-24 09:36:36"
802,"鍋もの","けんちん鍋",353,"2017-10-24 09:36:36","2017-10-24 09:36:36"
803,"鍋もの","おでん",223,"2017-10-24 09:36:36","2017-10-24 09:36:36"
804,"鍋もの","ぶりしゃぶ",381,"2017-10-24 09:36:36","2017-10-24 09:36:36"
806,"鍋もの","とり団子鍋",395,"2017-10-24 09:36:36","2017-10-24 09:36:36"
808,"鍋もの","チゲ鍋",300,"2017-10-24 09:36:36","2017-10-24 09:36:36"
809,"鍋もの","豆乳鍋",354,"2017-10-24 09:36:36","2017-10-24 09:36:36"
812,"鍋もの","ちゃんこ鍋",275,"2017-10-24 09:36:36","2017-10-24 09:36:36"
814,"鍋もの","海鮮トマト鍋",112,"2017-10-24 09:36:36","2017-10-24 09:36:36"
815,"鍋もの","もつ鍋",318,"2017-10-24 09:36:36","2017-10-24 09:36:36"
816,"鍋もの","豚と白菜のはさみ蒸し",415,"2017-10-24 09:36:36","2017-10-24 09:36:36"
817,"鍋もの","ブイヤベース",423,"2017-10-24 09:36:36","2017-10-24 09:36:36"
900,"粉もの","チヂミ",269,"2017-10-24 09:36:36","2017-10-24 09:36:36"
901,"粉もの","お好み焼き",400,"2017-10-24 09:36:36","2017-10-24 09:36:36"
902,"粉もの","広島風お好み焼き",806,"2017-10-24 09:36:36","2017-10-24 09:36:36"
903,"粉もの","豚キムチーズ",851,"2017-10-24 09:36:36","2017-10-24 09:36:36"
904,"粉もの","海鮮チヂミ",283,"2017-10-24 09:36:36","2017-10-24 09:36:36"
905,"粉もの","たこ焼き",418,"2017-10-24 09:36:36","2017-10-24 09:36:36"
1000,"ごはんもの","ご飯",235,"2017-10-24 09:36:29","2017-10-24 09:36:29"
1001,"ごはんもの","わかめご飯",127,"2017-10-24 09:36:29","2017-10-24 09:36:29"
1002,"ごはんもの","あさりご飯",308,"2017-10-24 09:36:29","2017-10-24 09:36:29"
1003,"ごはんもの","カレーライス",719,"2017-10-24 09:36:29","2017-10-24 09:36:29"
1004,"ごはんもの","チキンカレー",729,"2017-10-24 09:36:29","2017-10-24 09:36:29"
1005,"ごはんもの","キーマカレー",349,"2017-10-24 09:36:30","2017-10-24 09:36:30"
1006,"ごはんもの","ドライカレー",578,"2017-10-24 09:36:29","2017-10-24 09:36:29"
1007,"ごはんもの","シーフードカレー",396,"2017-10-24 09:36:29","2017-10-24 09:36:29"
1008,"ごはんもの","ビーフカレー",836,"0000-00-00 00:00:00","0000-00-00 00:00:00"
1009,"ごはんもの","ポークカレー",803,"0000-00-00 00:00:00","0000-00-00 00:00:00"
1010,"ごはんもの","スープカレー",243,"0000-00-00 00:00:00","0000-00-00 00:00:00"
1011,"ごはんもの","オムライス",530,"2017-10-24 09:36:29","2017-10-24 09:36:29"
1012,"ごはんもの","タコライス",498,"2017-10-24 09:36:29","2017-10-24 09:36:29"
1013,"ごはんもの","ガーリックライス",320,"2017-10-24 09:36:29","2017-10-24 09:36:29"
1014,"ごはんもの","チャーハン",545,"2017-10-24 09:36:30","2017-10-24 09:36:30"
1015,"ごはんもの","天津飯",438,"2017-10-24 09:36:29","2017-10-24 09:36:29"
1016,"ごはんもの","ちらしずし",819,"2017-10-24 09:36:29","2017-10-24 09:36:29"
1017,"ごはんもの","いなり寿司",569,"2017-10-24 09:36:30","2017-10-24 09:36:30"
1018,"ごはんもの","ピラフ",440,"2017-10-24 09:36:29","2017-10-24 09:36:29"
1019,"ごはんもの","パエリア",472,"2017-10-24 09:36:29","2017-10-24 09:36:29"
1020,"ごはんもの","牛丼",649,"2017-10-24 09:36:30","2017-10-24 09:36:30"
1021,"ごはんもの","まぐろとアボカドのポキ丼",649,"2017-10-24 09:36:30","2017-10-24 09:36:30"
1022,"ごはんもの","とりそぼろご飯",481,"2017-10-24 09:36:29","2017-10-24 09:36:29"
1023,"ごはんもの","お赤飯",341,"2017-10-24 09:36:30","2017-10-24 09:36:30"
1024,"ごはんもの","ビビンバ",568,"2017-10-24 09:36:30","2017-10-24 09:36:30"
1025,"ごはんもの","親子丼",739,"2017-10-24 09:36:29","2017-10-24 09:36:29"
